x, y, z, alpha, beta, gamma, zero
0.524741, -1.04779e-16, 0.60618, -5.76197e-17, 0.25311, 3.14159, 0
0.52472, -1.04772e-16, 0.606167, -5.76597e-17, 0.253286, 3.14159, 0
0.5247, -1.0476e-16, 0.606155, -5.76994e-17, 0.25346, 3.14159, 0
0.524679, -1.04754e-16, 0.606142, -5.77386e-17, 0.253633, 3.14159, 0
0.524659, -1.04747e-16, 0.60613, -5.77774e-17, 0.253803, 3.14159, 0
0.52464, -1.04742e-16, 0.606118, -5.78158e-17, 0.253972, 3.14159, 0
0.52462, -1.04734e-16, 0.606105, -5.78539e-17, 0.25414, 3.14159, 0
0.5246, -1.04728e-16, 0.606093, -5.78915e-17, 0.254305, 3.14159, 0
0.524581, -1.04722e-16, 0.606082, -5.79288e-17, 0.254469, 3.14159, 0
0.524562, -1.04716e-16, 0.60607, -5.79657e-17, 0.254631, 3.14159, 0
0.524543, -1.0471e-16, 0.606058, -5.80023e-17, 0.254792, 3.14159, 0
0.524525, -1.04706e-16, 0.606046, -5.80384e-17, 0.254951, 3.14159, 0
0.524506, -1.04698e-16, 0.606035, -5.80743e-17, 0.255109, 3.14159, 0
0.524488, -1.04692e-16, 0.606024, -5.81097e-17, 0.255265, 3.14159, 0
0.52447, -1.04687e-16, 0.606012, -5.81448e-17, 0.255419, 3.14159, 0
0.524452, -1.04683e-16, 0.606001, -5.81796e-17, 0.255572, 3.14159, 0
0.524434, -1.04679e-16, 0.60599, -5.8214e-17, 0.255723, 3.14159, 0
0.524416, -1.04674e-16, 0.60598, -5.82481e-17, 0.255873, 3.14159, 0
0.524399, -1.04669e-16, 0.605969, -5.82818e-17, 0.256021, 3.14159, 0
0.524382, -1.04662e-16, 0.605958, -5.83152e-17, 0.256168, 3.14159, 0
0.524365, -1.04655e-16, 0.605948, -5.83482e-17, 0.256313, 3.14159, 0
0.524348, -1.04648e-16, 0.605937, -5.83809e-17, 0.256457, 3.14159, 0
0.524331, -1.04642e-16, 0.605927, -5.84133e-17, 0.256599, 3.14159, 0
0.524314, -1.04638e-16, 0.605916, -5.84454e-17, 0.25674, 3.14159, 0
0.524298, -1.04632e-16, 0.605906, -5.84771e-17, 0.25688, 3.14159, 0
0.524282, -1.04628e-16, 0.605896, -5.85086e-17, 0.257018, 3.14159, 0
0.524266, -1.04624e-16, 0.605886, -5.85397e-17, 0.257155, 3.14159, 0
0.52425, -1.04621e-16, 0.605876, -5.85705e-17, 0.257291, 3.14159, 0
0.524234, -1.04614e-16, 0.605867, -5.8601e-17, 0.257425, 3.14159, 0
0.524218, -1.04608e-16, 0.605857, -5.86312e-17, 0.257557, 3.14159, 0
0.524203, -1.04603e-16, 0.605848, -5.86611e-17, 0.257689, 3.14159, 0
0.524188, -1.04597e-16, 0.605838, -5.86907e-17, 0.257819, 3.14159, 0
0.524173, -1.04592e-16, 0.605829, -5.872e-17, 0.257948, 3.14159, 0
0.524158, -1.04586e-16, 0.605819, -5.8749e-17, 0.258075, 3.14159, 0
0.524143, -1.0458e-16, 0.60581, -5.87777e-17, 0.258202, 3.14159, 0
0.524128, -1.04575e-16, 0.605801, -5.88061e-17, 0.258326, 3.14159, 0
0.524114, -1.04569e-16, 0.605792, -5.88342e-17, 0.25845, 3.14159, 0
0.524099, -1.04564e-16, 0.605783, -5.88621e-17, 0.258573, 3.14159, 0
0.524085, -1.04561e-16, 0.605774, -5.88897e-17, 0.258694, 3.14159, 0
0.524071, -1.04554e-16, 0.605766, -5.8917e-17, 0.258814, 3.14159, 0
0.524057, -1.04546e-16, 0.605757, -5.8944e-17, 0.258933, 3.14159, 0
0.524043, -1.04541e-16, 0.605749, -5.89708e-17, 0.259051, 3.14159, 0
0.524029, -1.04537e-16, 0.60574, -5.89973e-17, 0.259167, 3.14159, 0
